Experiment_ID,Pressure-die distance,Pressure-die boost,Mandrel retraction timing,Collet boost
2,0.3,0.0,2.0,0.85
3,0.3,0.0,2.0,0.85
4,0.3,0.0,2.0,0.85
5,0.3,0.0,2.0,0.85
6,0.3,0.0,2.0,0.85
7,0.3,0.0,2.0,0.85
8,0.3,0.0,2.0,0.85
9,0.3,0.0,2.0,0.85
10,0.3,0.0,2.0,0.85
11,0.3,0.0,2.0,0.85
12,0.3,0.0,2.0,0.85
13,0.3,0.0,2.0,0.85
14,0.3,0.0,2.0,0.85
15,0.3,0.0,2.0,0.85
50,0.3,0.0,2.0,0.85
16,0.3,0.0,2.0,0.85
17,0.3,0.0,2.0,0.85
18,0.3,0.0,2.0,0.85
19,0.3,0.0,2.0,0.85
20,0.3,0.0,2.0,0.85
21,0.3,0.0,2.0,0.85
51,0.3,0.0,2.0,0.85
52,0.3,0.0,2.0,0.85
53,0.3,0.0,2.0,0.85
22,0.3,0.0,2.0,0.85
23,0.3,0.0,2.0,0.85
54,0.3,0.0,2.0,0.85
49,0.3,0.0,2.0,0.85
55,0.3,0.0,2.0,0.85
24,0.3,0.0,2.0,0.85
25,0.3,0.0,2.0,0.85
43,0.3,0.0,2.0,0.85
45,0.3,0.0,2.0,0.85
46,0.3,0.0,2.0,0.85
47,0.3,0.0,2.0,0.85
56,0.3,0.0,2.0,0.85
26,0.3,0.0,2.0,0.85
27,0.3,0.0,2.0,0.85
28,0.3,0.0,2.0,0.85
29,0.3,0.0,2.0,0.85
30,0.3,0.0,2.0,0.85
31,0.3,0.0,2.0,0.85
44,0.3,0.0,2.0,0.85
32,0.3,0.0,2.0,0.85
33,0.3,0.0,2.0,0.85
34,0.3,0.0,2.0,0.85
35,0.3,0.0,2.0,0.85
36,0.3,0.0,2.0,0.85
37,0.3,0.0,2.0,0.85
38,0.3,0.0,2.0,0.85
39,0.3,0.0,2.0,0.85
40,0.3,0.0,2.0,0.85
41,0.3,0.0,2.0,0.85
42,0.3,0.0,2.0,0.85
57,0.3,0.85,2.0,0.85
193,0.6,0.0,0.0,0.85
194,0.6,0.0,0.0,0.85
195,0.6,0.0,0.0,0.85
268,0.6,0.0,0.0,0.87
269,0.6,0.0,0.0,0.87
270,0.6,0.0,0.0,0.87
241,0.6,0.0,0.0,0.9
242,0.6,0.0,0.0,0.9
243,0.6,0.0,0.0,0.9
253,0.6,0.0,0.0,0.92
257,0.6,0.0,0.0,0.92
259,0.6,0.0,0.0,0.92
196,0.6,0.0,0.0,0.95
197,0.6,0.0,0.0,0.95
198,0.6,0.0,0.0,0.95
223,0.6,0.0,5.0,0.85
224,0.6,0.0,5.0,0.85
225,0.6,0.0,5.0,0.85
265,0.6,0.0,5.0,0.87
266,0.6,0.0,5.0,0.87
267,0.6,0.0,5.0,0.87
238,0.6,0.0,5.0,0.9
239,0.6,0.0,5.0,0.9
240,0.6,0.0,5.0,0.9
254,0.6,0.0,5.0,0.92
256,0.6,0.0,5.0,0.92
260,0.6,0.0,5.0,0.92
220,0.6,0.0,5.0,0.95
221,0.6,0.0,5.0,0.95
222,0.6,0.0,5.0,0.95
208,0.6,0.0,10.0,0.85
209,0.6,0.0,10.0,0.85
210,0.6,0.0,10.0,0.85
262,0.6,0.0,10.0,0.87
263,0.6,0.0,10.0,0.87
264,0.6,0.0,10.0,0.87
235,0.6,0.0,10.0,0.9
236,0.6,0.0,10.0,0.9
237,0.6,0.0,10.0,0.9
255,0.6,0.0,10.0,0.92
258,0.6,0.0,10.0,0.92
261,0.6,0.0,10.0,0.92
205,0.6,0.0,10.0,0.95
206,0.6,0.0,10.0,0.95
207,0.6,0.0,10.0,0.95
190,0.6,0.85,0.0,0.85
191,0.6,0.85,0.0,0.85
192,0.6,0.85,0.0,0.85
280,0.6,0.85,2.0,0.85
281,0.6,0.85,2.0,0.85
282,0.6,0.85,2.0,0.85
283,0.6,0.85,2.0,0.85
284,0.6,0.85,2.0,0.85
214,0.6,0.85,5.0,0.85
215,0.6,0.85,5.0,0.85
216,0.6,0.85,5.0,0.85
211,0.6,0.85,10.0,0.85
212,0.6,0.85,10.0,0.85
213,0.6,0.85,10.0,0.85
271,0.6,0.87,0.0,0.87
272,0.6,0.87,0.0,0.87
273,0.6,0.87,0.0,0.87
274,0.6,0.87,5.0,0.87
275,0.6,0.87,5.0,0.87
276,0.6,0.87,5.0,0.87
277,0.6,0.87,10.0,0.87
278,0.6,0.87,10.0,0.87
279,0.6,0.87,10.0,0.87
290,0.6,0.9,2.0,0.9
291,0.6,0.9,2.0,0.9
292,0.6,0.9,2.0,0.9
293,0.6,0.9,2.0,0.9
294,0.6,0.9,2.0,0.9
295,0.6,0.9,2.0,0.9
296,0.6,0.9,2.0,0.9
297,0.6,0.9,2.0,0.9
298,0.6,0.9,2.0,0.9
299,0.6,0.9,2.0,0.9
300,0.6,0.9,2.0,0.9
301,0.6,0.9,2.0,0.9
226,0.6,0.9,0.0,0.9
227,0.6,0.9,0.0,0.9
228,0.6,0.9,0.0,0.9
302,0.6,0.9,2.0,0.9
303,0.6,0.9,2.0,0.9
304,0.6,0.9,2.0,0.9
317,0.6,0.9,2.0,0.9
318,0.6,0.9,2.0,0.9
229,0.6,0.9,5.0,0.9
230,0.6,0.9,5.0,0.9
231,0.6,0.9,5.0,0.9
232,0.6,0.9,10.0,0.9
233,0.6,0.9,10.0,0.9
234,0.6,0.9,10.0,0.9
305,0.6,0.9,2.0,0.9
306,0.6,0.9,2.0,0.9
307,0.6,0.9,2.0,0.9
308,0.6,0.9,2.0,0.9
309,0.6,0.9,2.0,0.9
310,0.6,0.9,2.0,0.9
311,0.6,0.9,2.0,0.9
312,0.6,0.9,2.0,0.9
313,0.6,0.9,2.0,0.9
314,0.6,0.9,2.0,0.9
315,0.6,0.9,2.0,0.9
316,0.6,0.9,2.0,0.9
244,0.6,0.92,0.0,0.92
247,0.6,0.92,0.0,0.92
250,0.6,0.92,0.0,0.92
245,0.6,0.92,5.0,0.92
248,0.6,0.92,5.0,0.92
251,0.6,0.92,5.0,0.92
246,0.6,0.92,10.0,0.92
249,0.6,0.92,10.0,0.92
252,0.6,0.92,10.0,0.92
199,0.6,0.95,0.0,0.95
200,0.6,0.95,0.0,0.95
201,0.6,0.95,0.0,0.95
285,0.6,0.95,2.0,0.95
286,0.6,0.95,2.0,0.95
287,0.6,0.95,2.0,0.95
288,0.6,0.95,2.0,0.95
289,0.6,0.95,2.0,0.95
217,0.6,0.95,5.0,0.95
218,0.6,0.95,5.0,0.95
219,0.6,0.95,5.0,0.95
202,0.6,0.95,10.0,0.95
203,0.6,0.95,10.0,0.95
204,0.6,0.95,10.0,0.95
59,0.9,0.0,0.0,0.85
90,0.9,0.0,0.0,0.85
129,0.9,0.0,0.0,0.85
152,0.9,0.0,0.0,0.85
88,0.9,0.0,0.0,0.87
115,0.9,0.0,0.0,0.87
184,0.9,0.0,0.0,0.87
185,0.9,0.0,0.0,0.87
69,0.9,0.0,0.0,0.9
103,0.9,0.0,0.0,0.9
134,0.9,0.0,0.0,0.9
154,0.9,0.0,0.0,0.9
83,0.9,0.0,0.0,0.92
110,0.9,0.0,0.0,0.92
182,0.9,0.0,0.0,0.92
183,0.9,0.0,0.0,0.92
70,0.9,0.0,0.0,0.95
92,0.9,0.0,0.0,0.95
135,0.9,0.0,0.0,0.95
165,0.9,0.0,0.0,0.95
60,0.9,0.0,5.0,0.85
99,0.9,0.0,5.0,0.85
130,0.9,0.0,5.0,0.85
151,0.9,0.0,5.0,0.85
87,0.9,0.0,5.0,0.87
114,0.9,0.0,5.0,0.87
186,0.9,0.0,5.0,0.87
187,0.9,0.0,5.0,0.87
68,0.9,0.0,5.0,0.9
102,0.9,0.0,5.0,0.9
133,0.9,0.0,5.0,0.9
155,0.9,0.0,5.0,0.9
84,0.9,0.0,5.0,0.92
111,0.9,0.0,5.0,0.92
180,0.9,0.0,5.0,0.92
181,0.9,0.0,5.0,0.92
71,0.9,0.0,5.0,0.95
93,0.9,0.0,5.0,0.95
136,0.9,0.0,5.0,0.95
164,0.9,0.0,5.0,0.95
61,0.9,0.0,10.0,0.85
100,0.9,0.0,10.0,0.85
131,0.9,0.0,10.0,0.85
150,0.9,0.0,10.0,0.85
153,0.9,0.0,10.0,0.85
86,0.9,0.0,10.0,0.87
113,0.9,0.0,10.0,0.87
188,0.9,0.0,10.0,0.87
189,0.9,0.0,10.0,0.87
67,0.9,0.0,10.0,0.9
101,0.9,0.0,10.0,0.9
132,0.9,0.0,10.0,0.9
156,0.9,0.0,10.0,0.9
85,0.9,0.0,10.0,0.92
112,0.9,0.0,10.0,0.92
178,0.9,0.0,10.0,0.92
179,0.9,0.0,10.0,0.92
72,0.9,0.0,10.0,0.95
94,0.9,0.0,10.0,0.95
137,0.9,0.0,10.0,0.95
163,0.9,0.0,10.0,0.95
58,0.9,0.85,0.0,0.85
89,0.9,0.85,0.0,0.85
146,0.9,0.85,0.0,0.85
147,0.9,0.85,0.0,0.85
119,0.9,0.85,2.0,0.85
120,0.9,0.85,2.0,0.85
121,0.9,0.85,2.0,0.85
122,0.9,0.85,2.0,0.85
123,0.9,0.85,2.0,0.85
62,0.9,0.85,5.0,0.85
98,0.9,0.85,5.0,0.85
145,0.9,0.85,5.0,0.85
148,0.9,0.85,5.0,0.85
63,0.9,0.85,10.0,0.85
97,0.9,0.85,10.0,0.85
144,0.9,0.85,10.0,0.85
149,0.9,0.85,10.0,0.85
77,0.9,0.87,0.0,0.87
116,0.9,0.87,0.0,0.87
168,0.9,0.87,0.0,0.87
174,0.9,0.87,0.0,0.87
78,0.9,0.87,5.0,0.87
117,0.9,0.87,5.0,0.87
167,0.9,0.87,5.0,0.87
173,0.9,0.87,5.0,0.87
79,0.9,0.87,10.0,0.87
118,0.9,0.87,10.0,0.87
172,0.9,0.87,10.0,0.87
64,0.9,0.9,0.0,0.9
76,0.9,0.9,0.0,0.9
104,0.9,0.9,0.0,0.9
141,0.9,0.9,0.0,0.9
159,0.9,0.9,0.0,0.9
65,0.9,0.9,5.0,0.9
105,0.9,0.9,5.0,0.9
142,0.9,0.9,5.0,0.9
158,0.9,0.9,5.0,0.9
66,0.9,0.9,10.0,0.9
