"[1, 2, 3]","[107, 106, 105]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2909.8,2.0,0.85,225.25
"[4, 5]","[104, 103]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2909.6,2.0,0.85,225.25
"[6, 7]","[102, 101]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2909.4,2.0,0.85,225.25
"[8, 9]","[100, 99]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2909.2,2.0,0.85,225.25
"[10, 11]","[98, 97]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2909.0,2.0,0.85,225.25
"[12, 13]","[96, 95]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2908.8,2.0,0.85,225.25
"[14, 15, 50]","[94, 93, 58]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2908.6,2.0,0.85,225.25
"[16, 17]","[92, 91]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2908.4,2.0,0.85,225.25
"[18, 19]","[90, 89]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2908.2,2.0,0.85,225.25
"[20, 21, 51, 52, 53]","[88, 87, 57, 56, 55]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2908.0,2.0,0.85,225.25
"[22, 23, 54]","[86, 85, 54]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2907.8,2.0,0.85,225.25
"[48, 49]","[60, 59]",22.0,1.0,47.0,5.0,-50.25,0.3,0.0,-2907.6,2.0,0.85,225.25
[55],[53],22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2907.8,2.0,0.85,225.35
"[24, 25, 43, 45, 46, 47]","[84, 83, 65, 63, 62, 61]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2907.6,2.0,0.85,225.25
[56],[52],22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2907.6,2.0,0.85,225.4
"[26, 27]","[82, 81]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2907.4,2.0,0.85,225.25
"[28, 29]","[80, 79]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2907.2,2.0,0.85,225.25
"[30, 31, 44]","[78, 77, 64]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2907.0,2.0,0.85,225.25
"[32, 33]","[76, 75]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2906.8,2.0,0.85,225.25
"[34, 35]","[74, 73]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2906.6,2.0,0.85,225.25
"[36, 37]","[72, 71]",22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2906.4,2.0,0.85,225.25
[38],[70],22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2906.2,2.0,0.85,225.25
[39],[69],22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2906.0,2.0,0.85,225.25
[40],[68],22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2905.8,2.0,0.85,225.25
[41],[67],22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2905.6,2.0,0.85,225.25
[42],[66],22.0,1.0,47.0,5.0,-50.45,0.3,0.0,-2905.4,2.0,0.85,225.25
[57],[51],22.0,1.0,47.0,5.0,-50.45,0.3,0.85,-2907.6,2.0,0.85,225.4
