Experiment_ID,Angle[degree]ORDistance[mm],Secondary-axis [mm],Main-axis [mm],Out-of-roundness [-],Collapse [mm]
2,0.0,22.14579744156577,21.45329141476239,0.0315114700272311,-0.5230247077459609
2,1.0,22.14719389501458,21.507500861329174,0.0291082923142986,-0.4688152611791771
2,2.0,22.146727064720714,21.58729944724194,0.0254559323937738,-0.3890166752664115
2,3.0,22.145978572483557,21.664488461992875,0.0219095005644522,-0.3118276605154761
2,4.0,22.1474329756658,21.7205896125044,0.0194228805584127,-0.2557265100039494
2,5.0,22.15301697170936,21.76335967119778,0.0177307833733101,-0.2129564513105712
2,6.0,22.157665546375057,21.78430819301274,0.0169890782095148,-0.1920079294956096
2,7.0,22.162119547876195,21.775930760415605,0.0175729537793211,-0.2003853620927458
2,8.0,22.16277877766729,21.730760180095952,0.0196583720020693,-0.2455559424123983
2,9.0,22.162373269378715,21.666776831702247,0.0225513882724354,-0.3095392908061036
2,10.0,22.15921868914064,21.601695861794237,0.0253692577153722,-0.3746202607141171
2,11.0,22.15719512587936,21.54210498396812,0.0279887738455518,-0.4342111385402347
2,12.0,22.154108732446037,21.49386721685276,0.030043320814677,-0.4824489056555947
2,13.0,22.142077076904307,21.461295094355112,0.0309779846064342,-0.5150210281532388
2,14.0,22.12457499253757,21.4320542462509,0.0315121398157077,-0.5442618762574511
2,15.0,22.10933498540622,21.426800445973345,0.0310577321343599,-0.5495156765350089
2,16.0,22.09550519575937,21.4369485832924,0.0299666517716529,-0.5393675392159487
2,17.0,22.085236953062093,21.46350251754148,0.0282911126712374,-0.5128136049668726
2,18.0,22.07864687990687,21.476141165608976,0.0274161379431925,-0.5001749568993752
2,19.0,22.072920813348723,21.484320652900845,0.0267833861310826,-0.4919954696075059
2,20.0,22.068584243231467,21.478381756228384,0.0268562976484758,-0.4979343662799671
2,21.0,22.066457836947947,21.466379871561724,0.0273056667933356,-0.5099362509466268
2,22.0,22.063323947970904,21.448748826101077,0.0279653386147087,-0.5275672964072768
2,23.0,22.06066778521169,21.434292501744437,0.0285022876434564,-0.5420236207639171
2,24.0,22.05174458074658,21.42021279107408,0.0287369268876541,-0.5561033314342687
2,25.0,22.04334294107305,21.409475240454515,0.0288432190857193,-0.5668408820538353
2,26.0,22.036731714103773,21.408130277890336,0.0286035854557815,-0.5681858446180144
2,27.0,22.031618810342025,21.40047002078141,0.0287194990298754,-0.5758461017269418
2,28.0,22.026465356611148,21.397612501960054,0.0286150258826597,-0.5787036205482927
2,29.0,22.027151943683684,21.396873124880283,0.0286799122878407,-0.5794429976280675
2,30.0,22.029808978766063,21.39611461518767,0.0288353316381975,-0.5802015073206803
2,31.0,22.03526702247568,21.39403564107992,0.0291782925682891,-0.5822804814284339
2,32.0,22.040328365473133,21.391585922134823,0.0295200724144051,-0.5847302003735244
2,33.0,22.04020226661921,21.388120781693004,0.0296720105995535,-0.5881953408153464
2,34.0,22.03874318880855,21.38588265368396,0.0297074601350463,-0.5904334688243935
2,35.0,22.034185999506636,21.379800917682797,0.0297768323942888,-0.5965152048255575
2,36.0,22.02729639686264,21.37591000832985,0.0296403812586966,-0.6004061141785009
2,37.0,22.01879839063351,21.36618189892876,0.0296963552975256,-0.610134223579589
2,38.0,22.009420004203037,21.354923359739512,0.0297819088884137,-0.6213927627688385
2,39.0,22.005339504693392,21.343138591902488,0.0301324803074102,-0.6331775306058631
2,40.0,22.001221265361227,21.33448071657521,0.0303390497783718,-0.6418354059331399
2,41.0,21.99661105194224,21.323001017108155,0.0306516356553576,-0.6533151054001962
2,42.0,21.99283039588312,21.31253695750296,0.0309557541212923,-0.6637791650053906
2,43.0,21.99306605048496,21.304977838964145,0.0313104438289392,-0.6713382835442054
2,44.0,21.99402137574379,21.302415081288824,0.0314705290276843,-0.6739010412195263
2,44.78,21.99497505878793,21.305121299298385,0.0313907824971169,-0.6711948232099658
3,0.0,22.209400022171536,21.60166459679242,0.0275593965363969,-0.4501762182448736
3,1.0,22.20737315081457,21.65611217838463,0.0249984106566753,-0.3957286366526631
3,2.0,22.20864850176636,21.738296074443188,0.0213293951860217,-0.3135447405941072
3,3.0,22.210403072404738,21.80821409389746,0.0182383403671689,-0.2436267211398366
3,4.0,22.21134916248128,21.86719012060535,0.0156068168985349,-0.1846506944319443
3,5.0,22.212120289718037,21.9031353848225,0.0140117511044625,-0.1487054302147932
3,6.0,22.21247708377215,21.91155147905523,0.0136462804734068,-0.1402893359820645
3,7.0,22.20630829058898,21.88744898024521,0.0144595325632104,-0.1643918347920809
3,8.0,22.20087884438893,21.834232567623182,0.0166265610132524,-0.2176082474141125
3,9.0,22.194866272765697,21.76355388554949,0.0195590196226199,-0.2882869294878034
3,10.0,22.189321507616327,21.69055917533173,0.0226177186960502,-0.3612816397055596
3,11.0,22.179683103064164,21.625317465950104,0.025139200022523,-0.4265233490871907
3,12.0,22.16955595691108,21.566912494022908,0.0273284878093816,-0.4849283210143866
3,13.0,22.16245291535285,21.526265667424884,0.0288496209121075,-0.5255751476124111
3,14.0,22.154315956468217,21.508362725145517,0.0292924856813869,-0.5434780898917815
3,15.0,22.14825917947991,21.496000885179303,0.0295784057109566,-0.5558399298579886
3,16.0,22.1413992466732,21.510799155556683,0.0285962562674815,-0.5410416594806122
3,17.0,22.13338803212226,21.52844836037508,0.027432615572604,-0.5233924546622148
3,18.0,22.12872744867967,21.54244453740102,0.0265865746173379,-0.5093962776362737
3,19.0,22.12850056978002,21.547884778927937,0.0263295838076319,-0.5039560361093578
3,20.0,22.13046600043915,21.54673156768872,0.0264710070078313,-0.5051092473485781
3,21.0,22.138026624286724,21.53937726445928,0.0271473644694199,-0.5124635505780191
3,22.0,22.145680972295573,21.526627681688264,0.0280726355590763,-0.5252131333490304
3,23.0,22.148427700520035,21.512112332711624,0.0288554308524893,-0.5397284823256712
3,24.0,22.151932892367608,21.49730769392713,0.029685739341728,-0.5545331211101647
3,25.0,22.151547354960343,21.4853858390626,0.0302088846679631,-0.5664549759746933
3,26.0,22.14723977504833,21.469233975781236,0.0307459955363347,-0.5826068392560622
3,27.0,22.141053095977213,21.45708061231758,0.0310165708793448,-0.5947602027197156
3,28.0,22.130651410551604,21.455550940273994,0.0306142455834006,-0.5962898747633005
3,29.0,22.117723481528493,21.450044029928502,0.0302777195427919,-0.6017967851087924
3,30.0,22.10347868729471,21.45785751887981,0.0292774273962039,-0.5939832961574858
3,31.0,22.093394844865838,21.47058669007469,0.0282429099690601,-0.5812541249626051
3,32.0,22.0845641684626,21.47911183401808,0.0274558636407197,-0.5727289810192175
3,33.0,22.07676814323926,21.492234357245408,0.0265072558294205,-0.5596064577918867
3,34.0,22.067612194477007,21.505806625831877,0.0254765837173119,-0.5460341892054217
3,35.0,22.05971324552197,21.506934724596487,0.0250672279725753,-0.5449060904408078
3,36.0,22.06051830258113,21.49535534655605,0.0256288334731536,-0.5564854684812488
3,37.0,22.06296601260927,21.48011653368471,0.026430876397725,-0.5717242813525836
3,38.0,22.06776398540704,21.465111202329947,0.027328910458402,-0.586729612707348
3,39.0,22.077303306230764,21.44904088859789,0.0284902481793927,-0.6027999264394062
3,40.0,22.08559200052863,21.43492549882209,0.0295062215968315,-0.6169153162152092
3,41.0,22.09103147869115,21.423293535362177,0.030280372007476,-0.6285472796751179
3,42.0,22.0943918866502,21.418894917866016,0.0306322258740212,-0.6329458971712789
3,43.0,22.101831873359394,21.420491921747335,0.0308971916370558,-0.6313488932899567
3,44.0,22.10728759768623,21.42272317945884,0.0310434137435176,-0.6291176355784565
3,44.75,22.106544888392637,21.427754841169783,0.0307815593680496,-0.624085973867512
4,0.0,22.138416695468152,21.498765897203253,0.0290887302952091,-0.490877231711444
4,1.0,22.15390315636067,21.56990740486286,0.0265577639470601,-0.4197357240518364
4,2.0,22.155502129498917,21.646423322169056,0.0231508444382372,-0.3432198067456404
4,3.0,22.153260838921977,21.72102588542005,0.0196562968743028,-0.2686172434946421
4,4.0,22.14444887167973,21.786370480318364,0.016283956463601,-0.2032726485963323
4,5.0,22.135191280481003,21.826138364597902,0.0140544761946007,-0.1635047643167908
4,6.0,22.12785589536582,21.85100221443277,0.0125901852663086,-0.1386409144819254
4,7.0,22.119243523791496,21.839240326846262,0.012733412511686,-0.1504028020684344
4,8.0,22.10761387610495,21.779334923062464,0.0149287985765818,-0.2103082058522325
4,9.0,22.096336872191788,21.69823163563453,0.0181042154355736,-0.2914114932801617
4,10.0,22.0890863940108,21.620413704800317,0.0213133376682324,-0.3692294241143834
4,11.0,22.09097870285144,21.54760718812717,0.0247103380231657,-0.4420359407875267
4,12.0,22.092387434994823,21.488596456599957,0.0274579707753844,-0.5010466723147431
4,13.0,22.089767273833385,21.44245738818723,0.0294370346008477,-0.5471857407274676
4,14.0,22.08046513496616,21.41074108970289,0.0304563398931489,-0.5789020392118083
4,15.0,22.069514224317828,21.42601789789834,0.0292636093567766,-0.5636252310163563
4,16.0,22.05779176563204,21.451362343417333,0.0275779565252379,-0.5382807854973635
4,17.0,22.04894139405588,21.4690144081647,0.0263727329493864,-0.5206287207499969
4,18.0,22.045615109959744,21.48704644900357,0.0254014427465489,-0.5025966799111217
4,19.0,22.04528161558247,21.493269107061245,0.0251032954598236,-0.4963740218534518
4,20.0,22.046391396512004,21.487941072563952,0.025396061258208,-0.5017020563507444
4,21.0,22.05136391503308,21.47700759219928,0.0261194017322892,-0.5126355367154147
4,22.0,22.06272168155826,21.45898865577128,0.0274553353252521,-0.530654473143418
4,23.0,22.069140023590517,21.439493735606728,0.0286337656456028,-0.5501493933079686
4,24.0,22.070725927238065,21.42353041153232,0.0294318335186953,-0.5661127173823743
4,25.0,22.073947460132025,21.41135136740779,0.0301321894511772,-0.5782917615069074
4,26.0,22.06996999914809,21.3998797290664,0.0304729943161546,-0.5897633998482981
4,27.0,22.06592747210595,21.396571189012104,0.0304396155576392,-0.5930719399025932
4,28.0,22.06636564792429,21.39702174117049,0.030439052731768,-0.5926213877442024
4,29.0,22.067873124198,21.39895410210473,0.0304197306964789,-0.5906890268099616
4,30.0,22.067279302715303,21.40538502107213,0.0301002739227191,-0.5842581078425617
4,31.0,22.062929998196186,21.417640667622692,0.0293451479312542,-0.5720024612920014
4,32.0,22.05159113386868,21.43116407335523,0.0282145124809975,-0.5584790555594665
